fid,field_1,trap,trapnb,Unit,Unit_Class,Unit_code,Oc.detritu,Oc.caspius,Cx.theiler,Cx.pipiens,Cx.modestu,Cx.perexig,An.atropar,IShannon,Total_mosq,Riqueza_me,HIDRO_MEAN,HIDRO_ME_1,HIDRO_ME_2,HIDRO_ME_3,LULC_100,LULC_250,LULC_500,LULC_1000,LULC_2000,NDVI_100,NDVI_250,NDVI_500,NDVI_1000,NDVI_2000,DIST_RIO,DIST_ARROZ,DIST_urban,Norte,Oeste,LST_1
"35","61",MA41,"61",Marisma,Marshlands,"3",0.8,3247.2,3906.8,24.6,50.2,0.8,0,0.48981845,"23934",2.8,156.93,161.65,145.64,139.13,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.066045959,-0.075514569,-0.079981946,-0.044263304,0.023585069,"812","7195","12795",36.94911222,-6.288159167,24.3091983795166
"36","62",MA44,"62",Marisma,Marshlands,"3",0,3838,1091.8,0,13.6,12.6,0,0.297096445,"36154",3,118.05,130.19,115.53,116.14,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.007220168,-0.018632696,-0.018999135,0.018811635,0.050941019,"484","8460","10934",36.93707056,-6.273458333,26.488733291626
"37","63",MA46,"63",Marisma,Marshlands,"3",0,4809,1615.6,0.4,17.6,1,0,0.320110642,"24780",2.4,123.74,134.91,126.23,118.1,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.049654944,-0.040710687,-0.051694947,-6.85e-05,0.044847536,"374","9440","10543",36.92826222,-6.276149722,26.2100524902344
"38","64",MA47,"64",Marisma,Marshlands,"3",0,1033.6,1126.6,0,14,1,3.4,0.448071011,"32218",2,135.39,111.04,99.78,97.39,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.076961548,-0.052169075,-0.028622081,-0.037637991,0.007289773,"357","10826","10425",36.9159625,-6.284031389,20.0580711364746
"39","65",MA48,"65",Marisma,Marshlands,"3",0,1464.4,2586.4,0.2,44.4,0.4,0,0.340745271,"10893",2.8,162.08,156.27,136.68,126.81,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.126376183,-0.11643669,-0.086728938,-0.073823271,-0.075387564,"628","10955","11550",36.91607944,-6.298019722,23.3563613891602
"40","66",MA49,"66",Marisma,Marshlands,"3",2,1,343,1,9,3,3,0.482143572,"20479",3.2,202.54,170.46,154.21,128.79,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.04545716,0.044692232,0.021382809,0.001782762,0.026322661,"4706","14501","14303",36.91884528,-6.389511111,21.6068534851074
"41","67",MA51,"68",Marisma,Marshlands,"3",0.2,906.4,630.6,0,7.8,0,0,0.332785533,"9235",2.2,148.2,142.38,114.42,122.46,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.077048334,-0.06068089,-0.060853724,-0.066232535,-0.037363523,"359","12209","12702",36.90947306,-6.322217778,23.7647037506104
"42","68",MA52,"69",Marisma,Marshlands,"3",0,974,442.2,0.8,1.6,0.4,1.4,0.378171179,"7725",1.8,148.18,125.88,114.91,119.64,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.091732593,-0.069493576,-0.044867717,-0.06950565,-0.034607461,"355","12631","12448",36.90777472,-6.330051111,23.9381370544434
"43","69",MA53,"70",Marisma,Marshlands,"3",1.67,480.83,306.17,1.33,4,0.33,1,0.128273251,"7102",3,189.09,187.32,144.03,132.25,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.205245466,0.080247334,0.063557997,-0.099246748,-0.195246349,"613","17122","8948",36.87463056,-6.361136111,22.1464290618896
"44","70",MA54,"71",Marisma,Marshlands,"3",4.5,1183.17,119.83,0,3.33,0.17,0.17,0.201026839,"4774",3.33,83.43,99.35,97.98,103.24,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.042878485,-0.006812972,-0.162499303,-0.181665763,-0.181574638,"94","17646","8166",36.86805389,-6.357433056,23.7511806488037
"45","71",MA55,"72",Marisma,Marshlands,"3",0,1347.5,473.5,0.5,0.33,0.5,0.33,0.152908073,"7867",2.5,143.96,126.57,113,122.52,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.029590356,0.019298986,-0.023278995,-0.018531384,-0.072842872,"311","13905","11607",36.900385,-6.344575833,23.2892208099365
"46","72",MA56,"73",Marisma,Marshlands,"3",0.5,562.5,78.17,0,2.33,0,0.33,0.225769949,"10936",2.33,176.04,181.85,178.3,153.06,Vegetaci? hal?ila,Vegetaci? hal?ila,Zonas sin vegetaci?,Zonas sin vegetaci?,Bare soil,0.062436962,0.005677718,-0.112890685,-0.145023973,-0.191494386,"957","16296","9924",36.88342389,-6.362254167,23.2111415863037
"47","94",TP1,"95",Marisma,Marshlands,"3",0,0,6781.5,319.5,2769.5,32,0,1.30669887,"1803",3.78,172.95,172.27,151.23,126.99,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.243834944,0.149437843,0.162034669,0.209171571,0.219099563,"12575","13547","9534",37.02823,-6.42961,23.1435241699219
"48","95",TP2,"96",Marisma,Marshlands,"3",0,0,12799,85.5,7041,12,0,1.050413375,"19805",4,186.36,188.51,165.99,132.11,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.31969406,0.274393684,0.267005232,0.262525569,0.254791916,"12424","13666","9089",37.01924,-6.43051,22.5556659698486
"49","96",TP3,"97",Marisma,Marshlands,"3",0,0,4068.5,6,2075.5,21,0,0.797416867,"39875",3,182.83,189.39,179.1,137.02,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.331207767,0.283853047,0.280520273,0.292455715,0.279533122,"12337","13798","8678",37.0103,-6.4321,22.8870239257813
"50","97",TP4,"98",Marisma,Marshlands,"3",0,0,4245,35,2462.5,32.5,0,1.027384105,"12342",3,184.88,189.89,196.24,169.22,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.335858544,0.297205108,0.292726171,0.297250214,0.285302123,"11777","13447","8920",37.00201,-6.42754,23.0533599853516
"51","98",TP5,"99",Marisma,Marshlands,"3",0,14,2985,43,9512.5,15.5,0,0.783804709,"13550",4,196.14,199.41,204.91,171.43,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.319183763,0.290220695,0.288282531,0.275878096,0.281542976,"11414","13308","9127",36.9933,-6.42452,23.0133724212646
"52","99",TP6,"100",Marisma,Marshlands,"3",0,0,4761,91.5,11330.5,65,20.5,0.964677817,"25140",3.5,200.84,193.61,184.2,164.82,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Pastizal,Pastizal,0.273243183,0.263185386,0.255557556,0.23181911,0.260752243,"11016","13124","9516",36.98496,-6.42024,23.1153087615967
"53","100",TP7,"101",Marisma,Marshlands,"3",0,0,3232,82.5,7895,18.5,0,0.941284911,"32538",4,170.65,158.53,159.45,162.99,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.24713988,0.225515446,0.219875385,0.225050979,0.236268091,"10590","12902","10041",36.97706,-6.41481,22.9137535095215
"54","101",TP8,"102",Marisma,Marshlands,"3",0,0,3198.5,135.5,4476,58,0,1.030013736,"22456",3.5,202.23,165.5,135.74,100.54,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.265440158,0.281790723,0.297956439,0.283559838,0.282338799,"12480","14474","8056",36.98836,-6.4367,23.5668182373047
"55","17",M01,"17",Monte,Scrubland,"4",1.25,28.88,237.63,0.88,0.25,2.75,54.75,0.800483831,"2698",3.88,2,1.93,20.17,57.71,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.397519731,0.401849939,0.396869411,0.379834782,0.374501156,"11925","15497","7743",36.96950528,-6.442368333,26.8016128540039
